AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
2004-12-15,Evening,Assam,Clear,Fine,9,Speeding
2018-07-09,Night,Punjab,Clear,Under Construction,0,Mechanical Failure
2014-02-07,Night,Uttarakhand,Clear,Under Construction,2,Weather Conditions
2007-09-10,Night,Madhya Pradesh,Foggy,Fine,1,Speeding
2011-11-23,Afternoon,Arunachal Pradesh,Rainy,Fine,2,Poor Visibility
2007-04-06,Evening,Arunachal Pradesh,Rainy,Fine,5,Reckless Driving
2021-02-24,Night,Himachal Pradesh,Clear,Rough,10,Mechanical Failure
2004-01-31,Afternoon,Gujarat,Foggy,Fine,10,Mechanical Failure
2017-07-05,Afternoon,Chhattisgarh,Rainy,Under Construction,1,Driver Fatigue
2001-11-16,Morning,Uttar Pradesh,Clear,Under Construction,5,Mechanical Failure
2020-08-24,Morning,Madhya Pradesh,Rainy,Fine,0,Driver Fatigue
2015-04-07,Afternoon,Punjab,Rainy,Under Construction,9,Drunk Driving
2013-07-06,Morning,Arunachal Pradesh,Clear,Under Construction,10,Distracted Driving
2018-09-16,Night,Jharkhand,Foggy,Under Construction,2,Poor Visibility
2011-06-01,Night,Tripura,Clear,Under Construction,4,Driver Fatigue
2023-05-30,Evening,Gujarat,Foggy,Under Construction,3,Driver Fatigue
2020-08-07,Night,Chhattisgarh,Foggy,Rough,4,Weather Conditions
2015-04-26,Afternoon,Uttar Pradesh,Clear,Under Construction,8,Distracted Driving
2009-04-19,Evening,Goa,Foggy,Rough,6,Drunk Driving
2012-05-01,Night,Uttar Pradesh,Foggy,Under Construction,4,Distracted Driving
2005-11-16,Afternoon,Karnataka,Clear,Fine,0,Weather Conditions
2014-06-11,Night,Nagaland,Rainy,Fine,3,Mechanical Failure
2012-08-07,Evening,Chhattisgarh,Clear,Fine,8,Drunk Driving
2002-09-08,Evening,Punjab,Rainy,Fine,7,Mechanical Failure
2018-08-04,Afternoon,Tripura,Clear,Rough,9,Speeding
2009-02-26,Morning,Telangana,Rainy,Rough,5,Distracted Driving
2007-04-03,Evening,Manipur,Foggy,Rough,9,Drunk Driving
2012-12-12,Night,Gujarat,Foggy,Fine,5,Weather Conditions
2015-05-21,Night,Uttar Pradesh,Rainy,Under Construction,8,Mechanical Failure
2000-02-28,Night,Bihar,Rainy,Under Construction,0,Poor Visibility
2010-10-01,Afternoon,Bihar,Rainy,Rough,10,Mechanical Failure
2002-03-10,Morning,Uttar Pradesh,Rainy,Fine,5,Poor Visibility
2007-04-14,Morning,Nagaland,Rainy,Fine,10,Road Conditions
2012-07-14,Morning,Arunachal Pradesh,Rainy,Under Construction,2,Road Conditions
2008-07-19,Night,Meghalaya,Rainy,Fine,3,Driver Fatigue
2022-06-26,Night,Meghalaya,Clear,Fine,10,Road Conditions
2020-11-16,Afternoon,West Bengal,Clear,Rough,3,Road Conditions
2007-09-07,Afternoon,Arunachal Pradesh,Rainy,Under Construction,9,Driver Fatigue
2002-02-11,Night,Himachal Pradesh,Rainy,Rough,9,Road Conditions
2008-03-02,Night,Kerala,Clear,Under Construction,8,Poor Visibility
2009-12-10,Night,Tripura,Foggy,Under Construction,7,Mechanical Failure
2007-07-25,Night,Sikkim,Rainy,Under Construction,2,Reckless Driving
2020-05-29,Night,Haryana,Foggy,Rough,3,Drunk Driving
2011-08-25,Evening,Nagaland,Clear,Fine,3,Weather Conditions
2017-05-27,Morning,Maharashtra,Foggy,Fine,9,Driver Fatigue
2022-11-19,Morning,Andhra Pradesh,Clear,Under Construction,8,Driver Fatigue
2010-01-03,Morning,Telangana,Rainy,Fine,3,Road Conditions
2010-08-07,Morning,West Bengal,Foggy,Fine,9,Mechanical Failure
2002-12-23,Morning,Uttarakhand,Foggy,Rough,9,Speeding
2011-01-09,Afternoon,Goa,Rainy,Rough,6,Drunk Driving
2002-10-03,Night,Mizoram,Clear,Under Construction,10,Reckless Driving
2013-10-14,Night,Uttar Pradesh,Foggy,Rough,5,Weather Conditions
2022-10-21,Night,Tamil Nadu,Foggy,Fine,3,Poor Visibility
2018-02-12,Night,Nagaland,Clear,Fine,1,Drunk Driving
2010-07-28,Night,Gujarat,Foggy,Fine,1,Drunk Driving
2022-02-07,Night,Uttar Pradesh,Rainy,Under Construction,6,Road Conditions
2008-08-25,Morning,Meghalaya,Clear,Fine,9,Poor Visibility
2021-11-30,Night,Meghalaya,Foggy,Under Construction,5,Speeding
2012-05-19,Afternoon,Tamil Nadu,Clear,Under Construction,10,Driver Fatigue
2008-01-16,Morning,Maharashtra,Clear,Rough,7,Drunk Driving
2006-09-09,Morning,Mizoram,Foggy,Under Construction,5,Poor Visibility
2019-05-22,Night,Rajasthan,Foggy,Rough,2,Speeding
2023-06-17,Evening,Meghalaya,Foggy,Under Construction,3,Weather Conditions
2005-08-01,Night,Punjab,Foggy,Fine,0,Distracted Driving
2001-06-03,Morning,Andhra Pradesh,Rainy,Under Construction,7,Distracted Driving
2005-05-18,Afternoon,Maharashtra,Rainy,Under Construction,8,Road Conditions
2006-10-02,Afternoon,Gujarat,Foggy,Under Construction,0,Reckless Driving
2000-09-26,Evening,Haryana,Foggy,Under Construction,10,Mechanical Failure
2004-02-20,Evening,Meghalaya,Rainy,Rough,6,Weather Conditions
2008-09-23,Night,Meghalaya,Rainy,Rough,10,Speeding
2007-12-12,Evening,Maharashtra,Rainy,Rough,5,Driver Fatigue
2001-09-25,Night,Telangana,Foggy,Under Construction,9,Speeding
2017-02-27,Afternoon,Odisha,Rainy,Rough,7,Poor Visibility
2011-12-27,Night,Madhya Pradesh,Rainy,Fine,0,Mechanical Failure
2013-01-22,Afternoon,Haryana,Clear,Rough,6,Distracted Driving
2008-11-28,Night,Madhya Pradesh,Foggy,Rough,0,Poor Visibility
2009-06-24,Morning,Karnataka,Clear,Under Construction,5,Mechanical Failure
2001-09-19,Afternoon,Uttarakhand,Foggy,Under Construction,10,Reckless Driving
2015-09-23,Morning,Gujarat,Rainy,Fine,8,Weather Conditions
2014-12-14,Afternoon,Madhya Pradesh,Clear,Fine,3,Poor Visibility
2019-04-27,Afternoon,Odisha,Rainy,Fine,7,Weather Conditions
2009-03-18,Night,Mizoram,Rainy,Rough,5,Speeding
2010-05-06,Night,Andhra Pradesh,Rainy,Fine,0,Distracted Driving
2004-03-11,Night,Gujarat,Clear,Under Construction,3,Road Conditions
2017-05-25,Morning,Mizoram,Clear,Rough,4,Driver Fatigue
2005-03-19,Afternoon,Kerala,Foggy,Rough,2,Driver Fatigue
2000-01-20,Afternoon,Chhattisgarh,Clear,Fine,1,Drunk Driving
2021-01-05,Night,Goa,Foggy,Rough,0,Mechanical Failure
2012-08-10,Night,Maharashtra,Rainy,Under Construction,6,Weather Conditions
2000-04-09,Night,Manipur,Rainy,Rough,8,Poor Visibility
2003-12-27,Afternoon,Tamil Nadu,Rainy,Under Construction,4,Mechanical Failure
2017-04-30,Afternoon,Maharashtra,Clear,Under Construction,1,Speeding
2010-09-29,Night,Arunachal Pradesh,Clear,Fine,8,Weather Conditions
2019-10-31,Morning,Jharkhand,Foggy,Rough,9,Driver Fatigue
2006-02-06,Morning,Arunachal Pradesh,Clear,Fine,7,Mechanical Failure
2017-11-17,Afternoon,Andhra Pradesh,Clear,Under Construction,3,Road Conditions
2003-06-11,Night,Bihar,Clear,Fine,1,Reckless Driving
2001-02-25,Night,Goa,Rainy,Rough,8,Mechanical Failure
2004-11-01,Night,Haryana,Foggy,Fine,10,Distracted Driving
2002-01-18,Night,Uttar Pradesh,Rainy,Under Construction,3,Mechanical Failure
2007-02-18,Morning,Arunachal Pradesh,Rainy,Fine,8,Drunk Driving
2006-08-21,Afternoon,Goa,Clear,Rough,5,Mechanical Failure
2011-09-19,Morning,Goa,Clear,Under Construction,2,Mechanical Failure
2004-04-16,Evening,Goa,Rainy,Under Construction,5,Speeding
2005-03-03,Morning,Manipur,Foggy,Rough,7,Poor Visibility
2008-04-22,Night,Uttarakhand,Clear,Fine,5,Distracted Driving
2008-09-27,Night,Gujarat,Clear,Fine,5,Weather Conditions
2002-05-29,Morning,Nagaland,Clear,Under Construction,8,Drunk Driving
2018-04-18,Afternoon,Chhattisgarh,Clear,Fine,7,Weather Conditions
2007-08-27,Afternoon,Karnataka,Clear,Fine,8,Speeding
2007-05-19,Night,Meghalaya,Rainy,Fine,0,Mechanical Failure
2013-08-07,Afternoon,Madhya Pradesh,Foggy,Under Construction,0,Mechanical Failure
2003-09-25,Morning,Assam,Clear,Fine,7,Driver Fatigue
2001-03-26,Night,Rajasthan,Foggy,Fine,2,Road Conditions
2011-10-10,Night,Manipur,Rainy,Under Construction,5,Weather Conditions
2013-08-27,Morning,Mizoram,Clear,Fine,2,Speeding
2018-06-30,Night,Goa,Clear,Under Construction,8,Weather Conditions
2013-11-09,Night,Arunachal Pradesh,Rainy,Rough,6,Weather Conditions
2008-06-10,Morning,Punjab,Clear,Under Construction,10,Mechanical Failure
2000-12-16,Night,Madhya Pradesh,Foggy,Under Construction,4,Road Conditions
2017-03-13,Night,Chhattisgarh,Rainy,Fine,5,Reckless Driving
2014-05-12,Night,Kerala,Foggy,Fine,7,Weather Conditions
2008-12-19,Afternoon,Andhra Pradesh,Rainy,Rough,3,Road Conditions
2003-03-11,Evening,Rajasthan,Clear,Fine,6,Speeding
2011-12-06,Evening,Tamil Nadu,Foggy,Under Construction,9,Speeding
2003-11-11,Morning,Manipur,Foggy,Rough,6,Weather Conditions
2000-07-26,Night,Andhra Pradesh,Clear,Under Construction,7,Road Conditions
2012-06-13,Night,Sikkim,Clear,Under Construction,1,Mechanical Failure
2005-11-28,Afternoon,Chhattisgarh,Clear,Rough,0,Speeding
2015-03-11,Afternoon,Arunachal Pradesh,Clear,Rough,7,Drunk Driving
2011-03-31,Evening,Karnataka,Clear,Fine,10,Driver Fatigue
2008-07-12,Morning,Goa,Clear,Rough,2,Distracted Driving
2016-09-22,Night,Arunachal Pradesh,Rainy,Fine,6,Reckless Driving
2001-10-11,Night,West Bengal,Clear,Under Construction,2,Drunk Driving
2018-01-20,Morning,Bihar,Rainy,Under Construction,10,Distracted Driving
2000-12-26,Afternoon,Sikkim,Foggy,Fine,6,Mechanical Failure
2021-06-19,Afternoon,Goa,Clear,Fine,8,Poor Visibility
2000-11-30,Afternoon,Mizoram,Foggy,Fine,8,Poor Visibility
2003-01-09,Afternoon,Assam,Foggy,Under Construction,8,Road Conditions
2001-10-16,Evening,Telangana,Clear,Fine,2,Poor Visibility
2000-01-02,Morning,Assam,Clear,Under Construction,1,Poor Visibility
2013-03-26,Afternoon,Sikkim,Rainy,Under Construction,4,Weather Conditions
2008-10-19,Afternoon,Jharkhand,Foggy,Fine,9,Road Conditions
2007-05-10,Night,Manipur,Rainy,Rough,5,Weather Conditions
2002-02-01,Night,Goa,Clear,Under Construction,5,Weather Conditions
2000-09-04,Morning,Telangana,Foggy,Rough,7,Reckless Driving
2012-11-20,Evening,Punjab,Foggy,Under Construction,8,Driver Fatigue
2021-11-27,Night,Jharkhand,Clear,Fine,10,Driver Fatigue
2014-10-28,Night,Meghalaya,Clear,Under Construction,6,Road Conditions
2013-10-06,Evening,Assam,Foggy,Rough,5,Reckless Driving
2006-08-04,Afternoon,Himachal Pradesh,Clear,Fine,10,Driver Fatigue
2008-10-19,Night,Kerala,Foggy,Under Construction,10,Drunk Driving
2022-11-01,Night,Haryana,Rainy,Rough,8,Distracted Driving
2004-03-12,Afternoon,Punjab,Foggy,Under Construction,3,Road Conditions
2004-02-02,Evening,Kerala,Clear,Fine,4,Poor Visibility
2001-12-24,Evening,Tamil Nadu,Foggy,Rough,1,Drunk Driving
2003-10-23,Evening,Meghalaya,Clear,Fine,4,Drunk Driving
2016-09-21,Morning,Telangana,Foggy,Rough,6,Distracted Driving
2000-12-04,Night,Rajasthan,Clear,Fine,3,Drunk Driving
2001-06-29,Morning,Haryana,Clear,Under Construction,6,Driver Fatigue
2013-09-16,Afternoon,West Bengal,Foggy,Under Construction,7,Poor Visibility
2004-01-10,Afternoon,Andhra Pradesh,Clear,Fine,10,Distracted Driving
2005-05-24,Night,Kerala,Clear,Rough,2,Road Conditions
2003-02-16,Evening,Kerala,Foggy,Fine,0,Road Conditions
2006-07-22,Afternoon,Tamil Nadu,Clear,Rough,1,Weather Conditions
2018-08-13,Night,Gujarat,Foggy,Under Construction,6,Road Conditions
2014-12-30,Night,Maharashtra,Rainy,Fine,3,Poor Visibility
2002-01-31,Night,Punjab,Clear,Under Construction,8,Weather Conditions
2010-08-12,Evening,Manipur,Foggy,Fine,3,Reckless Driving
2008-06-29,Morning,Haryana,Foggy,Rough,1,Weather Conditions
2012-11-28,Night,Gujarat,Foggy,Under Construction,4,Speeding
2002-06-29,Afternoon,Maharashtra,Rainy,Rough,2,Poor Visibility
2013-04-10,Afternoon,Jharkhand,Clear,Under Construction,3,Drunk Driving
2004-05-11,Night,Meghalaya,Foggy,Under Construction,3,Reckless Driving
2022-02-08,Evening,Arunachal Pradesh,Foggy,Under Construction,8,Driver Fatigue
2008-02-10,Evening,Assam,Clear,Fine,0,Road Conditions
2003-01-19,Night,West Bengal,Clear,Rough,9,Weather Conditions
2020-10-30,Evening,Arunachal Pradesh,Clear,Under Construction,0,Speeding
2008-11-14,Night,Jharkhand,Rainy,Under Construction,2,Driver Fatigue
2000-05-25,Night,Uttarakhand,Rainy,Under Construction,10,Drunk Driving
2021-10-03,Night,Uttarakhand,Clear,Fine,5,Mechanical Failure
2002-03-08,Afternoon,Telangana,Clear,Under Construction,6,Poor Visibility
2005-01-04,Afternoon,Bihar,Foggy,Under Construction,7,Drunk Driving
2017-03-26,Night,Gujarat,Foggy,Fine,3,Road Conditions
2016-02-03,Morning,Karnataka,Rainy,Under Construction,5,Distracted Driving
2005-08-04,Afternoon,Tripura,Foggy,Fine,8,Speeding
2013-06-04,Afternoon,Odisha,Foggy,Under Construction,2,Reckless Driving
2020-11-07,Morning,Manipur,Rainy,Under Construction,3,Poor Visibility
2018-10-12,Night,Mizoram,Foggy,Under Construction,10,Distracted Driving
2009-04-22,Night,Karnataka,Clear,Rough,4,Poor Visibility
2009-04-14,Morning,Madhya Pradesh,Foggy,Fine,1,Mechanical Failure
2008-12-28,Morning,Bihar,Clear,Under Construction,10,Driver Fatigue
2007-05-09,Morning,Telangana,Foggy,Rough,3,Drunk Driving
2007-01-06,Night,Meghalaya,Foggy,Fine,1,Poor Visibility
2008-12-02,Morning,Karnataka,Clear,Fine,7,Poor Visibility
2001-07-24,Morning,Mizoram,Foggy,Fine,0,Poor Visibility
2011-10-01,Afternoon,Himachal Pradesh,Clear,Rough,2,Distracted Driving
2017-10-21,Morning,Andhra Pradesh,Clear,Rough,5,Road Conditions
2009-02-03,Morning,Arunachal Pradesh,Clear,Fine,4,Weather Conditions
2015-02-16,Night,Bihar,Rainy,Rough,8,Driver Fatigue
2012-03-17,Evening,Tamil Nadu,Clear,Fine,2,Weather Conditions
2006-09-26,Night,Tripura,Rainy,Under Construction,3,Weather Conditions
2012-06-28,Afternoon,Andhra Pradesh,Foggy,Fine,9,Distracted Driving
2012-03-13,Night,Uttar Pradesh,Clear,Fine,1,Road Conditions
2020-06-23,Night,Rajasthan,Rainy,Rough,8,Reckless Driving
2013-12-16,Morning,Uttar Pradesh,Clear,Fine,7,Distracted Driving
2001-04-26,Evening,Chhattisgarh,Foggy,Fine,0,Poor Visibility
2022-12-05,Afternoon,Arunachal Pradesh,Foggy,Fine,6,Weather Conditions
2009-01-25,Afternoon,Rajasthan,Clear,Fine,9,Poor Visibility
2015-03-16,Morning,Maharashtra,Clear,Under Construction,2,Road Conditions
2023-04-22,Afternoon,Assam,Rainy,Fine,2,Driver Fatigue
2023-12-13,Night,Goa,Rainy,Fine,3,Poor Visibility
2005-12-16,Night,Telangana,Rainy,Under Construction,2,Driver Fatigue
2009-04-21,Evening,Telangana,Foggy,Fine,3,Reckless Driving
2010-05-25,Night,Maharashtra,Clear,Rough,0,Speeding
2005-05-09,Night,Arunachal Pradesh,Rainy,Fine,0,Driver Fatigue
2017-08-26,Morning,Odisha,Rainy,Fine,3,Weather Conditions
2002-11-17,Evening,Telangana,Clear,Rough,2,Driver Fatigue
2014-03-24,Afternoon,Assam,Rainy,Rough,9,Mechanical Failure
2009-04-28,Evening,Chhattisgarh,Clear,Fine,2,Reckless Driving
2016-12-12,Night,Tamil Nadu,Clear,Under Construction,2,Speeding
2012-04-16,Night,Telangana,Foggy,Rough,6,Weather Conditions
2007-11-28,Afternoon,Sikkim,Rainy,Under Construction,1,Road Conditions
2007-05-28,Morning,Gujarat,Rainy,Fine,10,Road Conditions
2002-07-28,Morning,Goa,Rainy,Fine,10,Driver Fatigue
2013-08-01,Night,Meghalaya,Rainy,Rough,5,Road Conditions
2023-02-07,Morning,Rajasthan,Rainy,Under Construction,2,Driver Fatigue
2005-02-19,Afternoon,Telangana,Clear,Fine,3,Reckless Driving
2000-10-31,Night,Gujarat,Clear,Fine,4,Distracted Driving
2011-06-09,Afternoon,Mizoram,Rainy,Fine,10,Mechanical Failure
2013-09-20,Night,Uttarakhand,Rainy,Rough,4,Distracted Driving
2011-06-10,Afternoon,Madhya Pradesh,Clear,Fine,10,Reckless Driving
2013-08-24,Afternoon,Tamil Nadu,Foggy,Fine,1,Poor Visibility
2010-10-25,Night,Nagaland,Rainy,Rough,4,Weather Conditions
2001-10-13,Night,Karnataka,Clear,Fine,2,Road Conditions
2000-02-21,Afternoon,Kerala,Rainy,Fine,8,Reckless Driving
2004-08-02,Afternoon,Nagaland,Rainy,Rough,2,Reckless Driving
2004-11-20,Night,Nagaland,Rainy,Fine,3,Weather Conditions
2012-04-30,Morning,Assam,Clear,Under Construction,2,Road Conditions
2016-12-30,Morning,Chhattisgarh,Foggy,Fine,4,Mechanical Failure
2017-08-13,Morning,Meghalaya,Clear,Fine,7,Road Conditions
2017-10-08,Afternoon,Himachal Pradesh,Foggy,Under Construction,8,Mechanical Failure
2015-01-26,Morning,Mizoram,Clear,Fine,8,Road Conditions
2017-02-10,Night,Haryana,Foggy,Fine,9,Road Conditions
2003-11-16,Night,Tamil Nadu,Clear,Fine,10,Road Conditions
2020-07-14,Night,Tamil Nadu,Rainy,Rough,6,Drunk Driving
2011-12-05,Night,Arunachal Pradesh,Rainy,Fine,3,Poor Visibility
2022-04-20,Afternoon,Goa,Rainy,Under Construction,6,Road Conditions
2013-02-15,Evening,Jharkhand,Clear,Fine,10,Drunk Driving
2017-01-30,Morning,Assam,Clear,Fine,9,Mechanical Failure
2009-08-11,Evening,Jharkhand,Clear,Fine,5,Mechanical Failure
2013-04-06,Morning,Goa,Foggy,Under Construction,7,Reckless Driving
2004-11-03,Morning,Uttarakhand,Clear,Under Construction,4,Reckless Driving
2006-09-09,Evening,Sikkim,Foggy,Rough,2,Speeding
2009-01-04,Afternoon,Uttarakhand,Clear,Rough,10,Weather Conditions
2008-07-12,Night,Meghalaya,Foggy,Under Construction,10,Road Conditions
2019-04-16,Morning,Jharkhand,Rainy,Fine,8,Drunk Driving
2002-02-27,Morning,Meghalaya,Rainy,Under Construction,3,Road Conditions
2018-01-10,Night,Jharkhand,Clear,Fine,10,Road Conditions
2005-06-26,Night,Tripura,Foggy,Under Construction,2,Driver Fatigue
2005-05-31,Night,Maharashtra,Rainy,Fine,6,Distracted Driving
2009-09-30,Afternoon,Arunachal Pradesh,Rainy,Rough,8,Reckless Driving
2008-08-09,Morning,Haryana,Clear,Under Construction,3,Speeding
2001-06-12,Night,Goa,Foggy,Under Construction,9,Speeding
2007-10-02,Night,Haryana,Rainy,Under Construction,1,Reckless Driving
2012-12-18,Night,Mizoram,Rainy,Rough,0,Reckless Driving
2003-06-03,Evening,Arunachal Pradesh,Foggy,Under Construction,5,Mechanical Failure
2009-04-03,Afternoon,Goa,Foggy,Rough,0,Weather Conditions
2009-06-04,Night,Tamil Nadu,Foggy,Fine,1,Poor Visibility
2016-05-05,Evening,Haryana,Clear,Rough,4,Weather Conditions
2009-10-25,Morning,Rajasthan,Rainy,Fine,4,Road Conditions
2012-12-25,Afternoon,Bihar,Clear,Under Construction,8,Drunk Driving
2015-06-28,Night,Mizoram,Foggy,Rough,0,Road Conditions
2008-04-27,Afternoon,Andhra Pradesh,Clear,Fine,10,Road Conditions
2010-02-23,Afternoon,Assam,Clear,Rough,10,Poor Visibility
2012-11-12,Night,Kerala,Foggy,Fine,1,Speeding
2009-09-15,Night,West Bengal,Foggy,Fine,4,Drunk Driving
2000-03-24,Morning,Andhra Pradesh,Foggy,Fine,5,Drunk Driving
2019-12-05,Night,Uttar Pradesh,Clear,Rough,2,Drunk Driving
2017-10-28,Night,Madhya Pradesh,Clear,Under Construction,1,Speeding
2002-12-27,Afternoon,Himachal Pradesh,Foggy,Fine,3,Weather Conditions
2008-12-13,Night,Nagaland,Rainy,Under Construction,2,Drunk Driving
2022-07-02,Evening,Rajasthan,Clear,Rough,8,Distracted Driving
2008-02-10,Evening,Andhra Pradesh,Clear,Rough,8,Weather Conditions
2016-05-19,Afternoon,Madhya Pradesh,Foggy,Rough,0,Reckless Driving
2007-03-24,Afternoon,Haryana,Rainy,Fine,3,Weather Conditions
2022-02-15,Evening,Jharkhand,Rainy,Fine,5,Driver Fatigue
2014-01-05,Afternoon,Uttarakhand,Clear,Fine,6,Distracted Driving
2009-04-25,Night,Uttar Pradesh,Clear,Rough,10,Reckless Driving
2000-08-04,Morning,Punjab,Clear,Rough,0,Poor Visibility
2017-05-31,Morning,Andhra Pradesh,Rainy,Fine,8,Driver Fatigue
2021-02-20,Morning,Jharkhand,Rainy,Under Construction,7,Reckless Driving
2012-04-06,Night,Mizoram,Foggy,Fine,4,Weather Conditions
2011-07-30,Afternoon,Kerala,Clear,Under Construction,4,Distracted Driving
2015-03-22,Night,Arunachal Pradesh,Foggy,Under Construction,6,Drunk Driving
2014-05-05,Night,Tripura,Rainy,Rough,9,Mechanical Failure
2016-12-05,Afternoon,Himachal Pradesh,Clear,Rough,10,Reckless Driving
2002-03-29,Night,Nagaland,Rainy,Rough,6,Mechanical Failure
2003-06-25,Night,Odisha,Foggy,Rough,8,Speeding
2008-01-01,Afternoon,Chhattisgarh,Foggy,Under Construction,6,Reckless Driving
2007-11-01,Night,Gujarat,Rainy,Under Construction,2,Speeding
2010-01-27,Evening,Tamil Nadu,Foggy,Fine,8,Speeding
2000-06-10,Night,Punjab,Rainy,Fine,7,Weather Conditions
2022-01-17,Morning,Himachal Pradesh,Rainy,Under Construction,1,Distracted Driving
2005-08-24,Afternoon,Punjab,Clear,Under Construction,4,Distracted Driving
2007-01-26,Night,Nagaland,Clear,Fine,7,Weather Conditions
2003-03-06,Night,Manipur,Foggy,Under Construction,4,Driver Fatigue
2014-05-03,Afternoon,Tripura,Clear,Under Construction,8,Weather Conditions
2005-08-21,Afternoon,Punjab,Clear,Fine,7,Distracted Driving
2007-12-13,Evening,Bihar,Clear,Fine,9,Reckless Driving
2007-10-13,Night,Himachal Pradesh,Rainy,Fine,0,Mechanical Failure
2000-07-29,Evening,Madhya Pradesh,Foggy,Under Construction,1,Driver Fatigue
2022-06-10,Morning,Tamil Nadu,Rainy,Under Construction,9,Driver Fatigue
2010-03-19,Night,Bihar,Rainy,Rough,5,Mechanical Failure
